timestamp,reportType,mbbBefore,createTime,bm,uploadTime,rrInterval,mbbAfter,showtimestamp
1697943840010,1.0,2222.0,2023-10-22 11:25:23,64.0,2023-10-22 11:25:23,620.0,5174.0,2023-10-22 11:04:00
1697943840660,1.0,2717.0,2023-10-22 11:25:23,32.0,2023-10-22 11:25:23,650.0,3694.0,2023-10-22 11:04:00
1697943841330,1.0,3012.0,2023-10-22 11:25:23,476.0,2023-10-22 11:25:23,670.0,2358.0,2023-10-22 11:04:01
1697943841940,1.0,1910.0,2023-10-22 11:25:23,36.0,2023-10-22 11:25:23,610.0,2893.0,2023-10-22 11:04:01
1697943842700,1.0,2233.0,2023-10-22 11:25:23,32.0,2023-10-22 11:25:23,760.0,5569.0,2023-10-22 11:04:02
1697943843460,1.0,2843.0,2023-10-22 11:25:23,14.0,2023-10-22 11:25:23,760.0,4644.0,2023-10-22 11:04:03
1697943844160,1.0,2635.0,2023-10-22 11:25:23,56.0,2023-10-22 11:25:23,700.0,11964.0,2023-10-22 11:04:04
1697943844970,1.0,4528.0,2023-10-22 11:25:23,14.0,2023-10-22 11:25:23,810.0,8828.0,2023-10-22 11:04:04
1697943845720,1.0,3663.0,2023-10-22 11:25:23,32.0,2023-10-22 11:25:23,750.0,4854.0,2023-10-22 11:04:05
1697943846440,1.0,4696.0,2023-10-22 11:25:23,6.0,2023-10-22 11:25:23,720.0,4897.0,2023-10-22 11:04:06
1697943847110,1.0,1725.0,2023-10-22 11:25:23,64.0,2023-10-22 11:25:23,670.0,11453.0,2023-10-22 11:04:07
1697943847810,1.0,3305.0,2023-10-22 11:25:23,26.0,2023-10-22 11:25:23,700.0,370.0,2023-10-22 11:04:07
1697943848450,1.0,1543.0,2023-10-22 11:25:23,16.0,2023-10-22 11:25:23,640.0,4262.0,2023-10-22 11:04:08
1697943849130,1.0,1851.0,2023-10-22 11:25:23,14.0,2023-10-22 11:25:23,680.0,3883.0,2023-10-22 11:04:09
1697943849830,1.0,1934.0,2023-10-22 11:25:23,10.0,2023-10-22 11:25:23,700.0,1083.0,2023-10-22 11:04:09
1697943852360,1.0,9499.0,2023-10-22 11:25:23,24.0,2023-10-22 11:25:23,930.0,4977.0,2023-10-22 11:04:12
1697943853030,1.0,2283.0,2023-10-22 11:25:23,26.0,2023-10-22 11:25:23,670.0,4243.0,2023-10-22 11:04:13
1697943853780,1.0,2944.0,2023-10-22 11:25:23,34.0,2023-10-22 11:25:23,750.0,4816.0,2023-10-22 11:04:13
1697943854540,1.0,2429.0,2023-10-22 11:25:23,24.0,2023-10-22 11:25:23,760.0,5523.0,2023-10-22 11:04:14
1697943855310,1.0,3010.0,2023-10-22 11:25:23,28.0,2023-10-22 11:25:23,770.0,4703.0,2023-10-22 11:04:15
1697943856120,1.0,2868.0,2023-10-22 11:25:23,16.0,2023-10-22 11:25:23,810.0,5262.0,2023-10-22 11:04:16
1697943856920,1.0,2819.0,2023-10-22 11:25:23,8.0,2023-10-22 11:25:23,800.0,4897.0,2023-10-22 11:04:16
1697943857710,1.0,2745.0,2023-10-22 11:25:23,8.0,2023-10-22 11:25:23,790.0,4896.0,2023-10-22 11:04:17
1697943858450,1.0,2625.0,2023-10-22 11:25:23,124.0,2023-10-22 11:25:23,740.0,1855.0,2023-10-22 11:04:18
1697943858880,1.0,1036.0,2023-10-22 11:25:23,66.0,2023-10-22 11:25:23,430.0,3296.0,2023-10-22 11:04:18
1697943859340,1.0,8578.0,2023-10-22 11:25:23,48.0,2023-10-22 11:25:23,460.0,4483.0,2023-10-22 11:04:19
1697943859880,1.0,5133.0,2023-10-22 11:25:23,62.0,2023-10-22 11:25:23,540.0,3308.0,2023-10-22 11:04:19
1697943860890,1.0,9925.0,2023-10-22 11:25:23,190.0,2023-10-22 11:25:23,1010.0,5193.0,2023-10-22 11:04:20
1697943861330,1.0,9574.0,2023-10-22 11:25:23,50.0,2023-10-22 11:25:23,440.0,8791.0,2023-10-22 11:04:21
1697943861980,1.0,3351.0,2023-10-22 11:25:23,34.0,2023-10-22 11:25:23,650.0,3706.0,2023-10-22 11:04:21
1697943862630,1.0,6446.0,2023-10-22 11:25:23,120.0,2023-10-22 11:25:23,650.0,11474.0,2023-10-22 11:04:22
1697943863570,1.0,10063.0,2023-10-22 11:25:23,42.0,2023-10-22 11:25:23,940.0,5625.0,2023-10-22 11:04:23
1697943864030,1.0,4655.0,2023-10-22 11:25:23,40.0,2023-10-22 11:25:23,460.0,4602.0,2023-10-22 11:04:24
1697943864710,1.0,2871.0,2023-10-22 11:25:23,66.0,2023-10-22 11:25:23,680.0,6790.0,2023-10-22 11:04:24
1697943865420,1.0,5526.0,2023-10-22 11:25:23,132.0,2023-10-22 11:25:23,710.0,6735.0,2023-10-22 11:04:25
1697943866090,1.0,8468.0,2023-10-22 11:25:23,32.0,2023-10-22 11:25:23,670.0,5742.0,2023-10-22 11:04:26
1697943866830,1.0,3263.0,2023-10-22 11:25:23,38.0,2023-10-22 11:25:23,740.0,5582.0,2023-10-22 11:04:26
1697943867520,1.0,3154.0,2023-10-22 11:25:23,20.0,2023-10-22 11:25:23,690.0,5612.0,2023-10-22 11:04:27
1697943868270,1.0,4043.0,2023-10-22 11:25:23,32.0,2023-10-22 11:25:23,750.0,6219.0,2023-10-22 11:04:28
1697943868970,1.0,2702.0,2023-10-22 11:25:23,18.0,2023-10-22 11:25:23,700.0,5027.0,2023-10-22 11:04:28
1697943869670,1.0,2980.0,2023-10-22 11:25:23,680.0,2023-10-22 11:25:23,700.0,35664.0,2023-10-22 11:04:29
1697943871000,1.0,48833.0,2023-10-22 11:25:23,1206.0,2023-10-22 11:25:23,1330.0,69966.0,2023-10-22 11:04:31
1697943872460,1.0,40833.0,2023-10-22 11:25:23,1906.0,2023-10-22 11:25:23,1460.0,89703.0,2023-10-22 11:04:32
1697943873820,1.0,55314.0,2023-10-22 11:25:23,276.0,2023-10-22 11:25:23,1360.0,134379.0,2023-10-22 11:04:33
1697943876350,1.0,60792.0,2023-10-22 11:25:23,320.0,2023-10-22 11:25:23,2530.0,32714.0,2023-10-22 11:04:36
1697943877410,1.0,2716.0,2023-10-22 11:25:23,212.0,2023-10-22 11:25:23,1060.0,13816.0,2023-10-22 11:04:37
1697943878350,1.0,36403.0,2023-10-22 11:25:23,88.0,2023-10-22 11:25:23,940.0,11217.0,2023-10-22 11:04:38
1697943879290,1.0,5806.0,2023-10-22 11:25:23,16.0,2023-10-22 11:25:23,940.0,7241.0,2023-10-22 11:04:39
1697943879930,1.0,2094.0,2023-10-22 11:25:23,16.0,2023-10-22 11:25:23,640.0,4588.0,2023-10-22 11:04:39
1697943880580,1.0,2698.0,2023-10-22 11:25:24,6.0,2023-10-22 11:25:23,650.0,4129.0,2023-10-22 11:04:40
1697943881270,1.0,2962.0,2023-10-22 11:25:24,10.0,2023-10-22 11:25:23,690.0,4263.0,2023-10-22 11:04:41
1697943882000,1.0,2391.0,2023-10-22 11:25:24,4.0,2023-10-22 11:25:23,730.0,3464.0,2023-10-22 11:04:42
1697943882730,1.0,1887.0,2023-10-22 11:25:24,20.0,2023-10-22 11:25:23,730.0,3181.0,2023-10-22 11:04:42
1697943883480,1.0,1737.0,2023-10-22 11:25:24,14.0,2023-10-22 11:25:23,750.0,2646.0,2023-10-22 11:04:43
1697943884250,1.0,1125.0,2023-10-22 11:25:24,56.0,2023-10-22 11:25:23,770.0,1923.0,2023-10-22 11:04:44
1697943884980,1.0,1263.0,2023-10-22 11:25:24,8.0,2023-10-22 11:25:23,730.0,3362.0,2023-10-22 11:04:44
1697943885700,1.0,1453.0,2023-10-22 11:25:24,16.0,2023-10-22 11:25:23,720.0,2982.0,2023-10-22 11:04:45
1697943886410,1.0,1508.0,2023-10-22 11:25:24,14.0,2023-10-22 11:25:23,710.0,1052.0,2023-10-22 11:04:46
1697943886870,1.0,1034.0,2023-10-22 11:25:24,104.0,2023-10-22 11:25:23,460.0,5044.0,2023-10-22 11:04:46
1697943887760,1.0,2040.0,2023-10-22 11:25:24,96.0,2023-10-22 11:25:23,890.0,1624.0,2023-10-22 11:04:47
1697943888360,1.0,4865.0,2023-10-22 11:25:24,52.0,2023-10-22 11:25:23,600.0,3572.0,2023-10-22 11:04:48
1697943888720,1.0,435.0,2023-10-22 11:25:24,92.0,2023-10-22 11:25:23,360.0,739.0,2023-10-22 11:04:48
1697943889340,1.0,5129.0,2023-10-22 11:25:24,30.0,2023-10-22 11:25:23,620.0,398.0,2023-10-22 11:04:49
1697943889620,1.0,894.0,2023-10-22 11:25:24,30.0,2023-10-22 11:25:23,280.0,2838.0,2023-10-22 11:04:49
1697943890280,1.0,1604.0,2023-10-22 11:25:24,24.0,2023-10-22 11:25:23,660.0,2510.0,2023-10-22 11:04:50
1697943890920,1.0,1498.0,2023-10-22 11:25:24,4.0,2023-10-22 11:25:23,640.0,2802.0,2023-10-22 11:04:50
1697943891600,1.0,1587.0,2023-10-22 11:25:24,10.0,2023-10-22 11:25:23,680.0,4424.0,2023-10-22 11:04:51
1697943892330,1.0,1764.0,2023-10-22 11:25:24,14.0,2023-10-22 11:25:23,730.0,1961.0,2023-10-22 11:04:52
1697943893100,1.0,1860.0,2023-10-22 11:25:24,18.0,2023-10-22 11:25:23,770.0,3286.0,2023-10-22 11:04:53
1697943893820,1.0,934.0,2023-10-22 11:25:24,90.0,2023-10-22 11:25:23,720.0,7901.0,2023-10-22 11:04:53
1697943894600,1.0,2967.0,2023-10-22 11:25:24,22.0,2023-10-22 11:25:23,780.0,3504.0,2023-10-22 11:04:54
1697943895300,1.0,1411.0,2023-10-22 11:25:24,20.0,2023-10-22 11:25:23,700.0,1932.0,2023-10-22 11:04:55
1697943895970,1.0,1158.0,2023-10-22 11:25:24,14.0,2023-10-22 11:25:23,670.0,2449.0,2023-10-22 11:04:55
1697943896590,1.0,1332.0,2023-10-22 11:25:24,12.0,2023-10-22 11:25:23,620.0,2347.0,2023-10-22 11:04:56
1697943897180,1.0,1215.0,2023-10-22 11:25:24,8.0,2023-10-22 11:25:23,590.0,2621.0,2023-10-22 11:04:57
1697943897810,1.0,1723.0,2023-10-22 11:25:24,18.0,2023-10-22 11:25:23,630.0,3727.0,2023-10-22 11:04:57
1697943898530,1.0,1111.0,2023-10-22 11:25:24,12.0,2023-10-22 11:25:23,720.0,1208.0,2023-10-22 11:04:58
1697943899270,1.0,641.0,2023-10-22 11:25:24,6.0,2023-10-22 11:25:23,740.0,1396.0,2023-10-22 11:04:59
1697943899920,1.0,1062.0,2023-10-22 11:25:24,36.0,2023-10-22 11:25:23,650.0,4277.0,2023-10-22 11:04:59
1697943900790,1.0,8325.0,2023-10-22 11:25:24,8.0,2023-10-22 11:25:23,870.0,6156.0,2023-10-22 11:05:00
1697943902380,1.0,3677.0,2023-10-22 11:25:24,14.0,2023-10-22 11:25:23,1590.0,2635.0,2023-10-22 11:05:02
1697943903110,1.0,878.0,2023-10-22 11:25:24,20.0,2023-10-22 11:25:23,730.0,1777.0,2023-10-22 11:05:03
1697943903770,1.0,704.0,2023-10-22 11:25:24,6.0,2023-10-22 11:25:23,660.0,1329.0,2023-10-22 11:05:03
1697943904410,1.0,910.0,2023-10-22 11:25:24,10.0,2023-10-22 11:25:23,640.0,2035.0,2023-10-22 11:05:04
1697943905030,1.0,1448.0,2023-10-22 11:25:24,20.0,2023-10-22 11:25:23,620.0,2163.0,2023-10-22 11:05:05
1697943905700,1.0,5790.0,2023-10-22 11:25:24,8.0,2023-10-22 11:25:23,670.0,7212.0,2023-10-22 11:05:05
1697943906640,1.0,4921.0,2023-10-22 11:25:24,8.0,2023-10-22 11:25:23,940.0,2155.0,2023-10-22 11:05:06
1697943907470,1.0,3266.0,2023-10-22 11:25:24,10.0,2023-10-22 11:25:23,830.0,248.0,2023-10-22 11:05:07
1697943907970,1.0,982.0,2023-10-22 11:25:24,6.0,2023-10-22 11:25:23,500.0,2576.0,2023-10-22 11:05:07
1697943909030,1.0,12428.0,2023-10-22 11:25:24,78.0,2023-10-22 11:25:23,1060.0,10503.0,2023-10-22 11:05:09
1697943912790,1.0,2117.0,2023-10-22 11:25:24,12.0,2023-10-22 11:25:23,680.0,4918.0,2023-10-22 11:05:12
1697943913470,1.0,1698.0,2023-10-22 11:25:24,14.0,2023-10-22 11:25:23,680.0,2802.0,2023-10-22 11:05:13
1697943914190,1.0,1695.0,2023-10-22 11:25:24,12.0,2023-10-22 11:25:23,720.0,2775.0,2023-10-22 11:05:14
1697943914990,1.0,1441.0,2023-10-22 11:25:24,4.0,2023-10-22 11:25:23,800.0,2760.0,2023-10-22 11:05:14
1697943915820,1.0,1019.0,2023-10-22 11:25:24,2.0,2023-10-22 11:25:23,830.0,1337.0,2023-10-22 11:05:15
1697943916620,1.0,718.0,2023-10-22 11:25:24,14.0,2023-10-22 11:25:23,800.0,1083.0,2023-10-22 11:05:16
1697943917430,1.0,776.0,2023-10-22 11:25:24,12.0,2023-10-22 11:25:23,810.0,2518.0,2023-10-22 11:05:17
1697943918270,1.0,1044.0,2023-10-22 11:25:24,14.0,2023-10-22 11:25:23,840.0,1950.0,2023-10-22 11:05:18
1697943919070,1.0,1173.0,2023-10-22 11:25:24,4.0,2023-10-22 11:25:23,800.0,2205.0,2023-10-22 11:05:19
