timestamp,bm,createTime,mbbAfter,mbbBefore,reportType,rrInterval,uploadTime,showtimestamp
1693965540350,12.0,2023-09-06 10:20:29,220.0,172.0,1.0,680.0,2023-09-06 10:20:29,2023-09-06 09:59:00
1693965541000,26.0,2023-09-06 10:20:29,242.0,121.0,1.0,650.0,2023-09-06 10:20:29,2023-09-06 09:59:01
1693965541910,66.0,2023-09-06 10:20:29,400.0,1338.0,1.0,910.0,2023-09-06 10:20:29,2023-09-06 09:59:01
1693965542420,6.0,2023-09-06 10:20:29,251.0,359.0,1.0,510.0,2023-09-06 10:20:29,2023-09-06 09:59:02
1693965543070,2.0,2023-09-06 10:20:29,527.0,243.0,1.0,650.0,2023-09-06 10:20:29,2023-09-06 09:59:03
1693965543910,16.0,2023-09-06 10:20:29,479.0,554.0,1.0,840.0,2023-09-06 10:20:29,2023-09-06 09:59:03
1693965544550,14.0,2023-09-06 10:20:29,645.0,712.0,1.0,640.0,2023-09-06 10:20:29,2023-09-06 09:59:04
1693965545230,18.0,2023-09-06 10:20:29,664.0,433.0,1.0,680.0,2023-09-06 10:20:29,2023-09-06 09:59:05
1693965545870,6.0,2023-09-06 10:20:29,404.0,320.0,1.0,640.0,2023-09-06 10:20:29,2023-09-06 09:59:05
1693965546550,6.0,2023-09-06 10:20:29,467.0,306.0,1.0,680.0,2023-09-06 10:20:29,2023-09-06 09:59:06
1693965547240,10.0,2023-09-06 10:20:29,445.0,305.0,1.0,690.0,2023-09-06 10:20:29,2023-09-06 09:59:07
1693965547960,10.0,2023-09-06 10:20:29,166.0,252.0,1.0,720.0,2023-09-06 10:20:29,2023-09-06 09:59:07
1693965548630,12.0,2023-09-06 10:20:29,906.0,457.0,1.0,670.0,2023-09-06 10:20:29,2023-09-06 09:59:08
1693965549360,2.0,2023-09-06 10:20:29,269.0,255.0,1.0,730.0,2023-09-06 10:20:29,2023-09-06 09:59:09
1693965550040,2.0,2023-09-06 10:20:29,352.0,259.0,1.0,680.0,2023-09-06 10:20:29,2023-09-06 09:59:10
1693965550710,6.0,2023-09-06 10:20:29,418.0,166.0,1.0,670.0,2023-09-06 10:20:29,2023-09-06 09:59:10
1693965551470,8.0,2023-09-06 10:20:29,369.0,242.0,1.0,760.0,2023-09-06 10:20:29,2023-09-06 09:59:11
1693965552210,4.0,2023-09-06 10:20:29,271.0,232.0,1.0,740.0,2023-09-06 10:20:29,2023-09-06 09:59:12
1693965552900,2.0,2023-09-06 10:20:29,343.0,187.0,1.0,690.0,2023-09-06 10:20:29,2023-09-06 09:59:12
1693965553610,6.0,2023-09-06 10:20:29,312.0,178.0,1.0,710.0,2023-09-06 10:20:29,2023-09-06 09:59:13
1693965554340,4.0,2023-09-06 10:20:29,248.0,195.0,1.0,730.0,2023-09-06 10:20:29,2023-09-06 09:59:14
1693965554990,8.0,2023-09-06 10:20:29,289.0,183.0,1.0,650.0,2023-09-06 10:20:29,2023-09-06 09:59:14
1693965555670,8.0,2023-09-06 10:20:29,317.0,168.0,1.0,680.0,2023-09-06 10:20:29,2023-09-06 09:59:15
1693965556410,12.0,2023-09-06 10:20:29,297.0,182.0,1.0,740.0,2023-09-06 10:20:29,2023-09-06 09:59:16
1693965557160,0.0,2023-09-06 10:20:29,277.0,247.0,1.0,750.0,2023-09-06 10:20:29,2023-09-06 09:59:17
1693965557940,2.0,2023-09-06 10:20:29,313.0,236.0,1.0,780.0,2023-09-06 10:20:29,2023-09-06 09:59:17
1693965558730,6.0,2023-09-06 10:20:29,281.0,205.0,1.0,790.0,2023-09-06 10:20:29,2023-09-06 09:59:18
1693965559510,8.0,2023-09-06 10:20:29,247.0,198.0,1.0,780.0,2023-09-06 10:20:29,2023-09-06 09:59:19
1693965560260,262.0,2023-09-06 10:20:29,4215.0,165.0,1.0,750.0,2023-09-06 10:20:29,2023-09-06 09:59:20
1693965561320,796.0,2023-09-06 10:20:29,3084.0,7236.0,1.0,1060.0,2023-09-06 10:20:29,2023-09-06 09:59:21
1693965562500,102.0,2023-09-06 10:20:29,4008.0,5672.0,1.0,1180.0,2023-09-06 10:20:29,2023-09-06 09:59:22
1693965563950,96.0,2023-09-06 10:20:29,1549.0,1140.0,1.0,1450.0,2023-09-06 10:20:29,2023-09-06 09:59:23
1693965564640,32.0,2023-09-06 10:20:29,4894.0,848.0,1.0,690.0,2023-09-06 10:20:29,2023-09-06 09:59:24
1693965566490,68.0,2023-09-06 10:20:29,493.0,698.0,1.0,1850.0,2023-09-06 10:20:29,2023-09-06 09:59:26
1693965567140,18.0,2023-09-06 10:20:29,534.0,568.0,1.0,650.0,2023-09-06 10:20:29,2023-09-06 09:59:27
1693965567860,314.0,2023-09-06 10:20:29,505.0,371.0,1.0,720.0,2023-09-06 10:20:29,2023-09-06 09:59:27
1693965568530,3156.0,2023-09-06 10:20:29,7180.0,2679.0,1.0,670.0,2023-09-06 10:20:29,2023-09-06 09:59:28
1693965569560,108.0,2023-09-06 10:20:29,2915.0,21242.0,1.0,1030.0,2023-09-06 10:20:29,2023-09-06 09:59:29
1693965570210,94.0,2023-09-06 10:20:29,2472.0,2123.0,1.0,650.0,2023-09-06 10:20:29,2023-09-06 09:59:30
1693965571190,42.0,2023-09-06 10:20:29,822.0,679.0,1.0,980.0,2023-09-06 10:20:29,2023-09-06 09:59:31
1693965571940,24.0,2023-09-06 10:20:29,860.0,883.0,1.0,750.0,2023-09-06 10:20:29,2023-09-06 09:59:31
1693965572600,2.0,2023-09-06 10:20:29,876.0,584.0,1.0,660.0,2023-09-06 10:20:29,2023-09-06 09:59:32
1693965573300,6.0,2023-09-06 10:20:29,862.0,569.0,1.0,700.0,2023-09-06 10:20:29,2023-09-06 09:59:33
1693965574040,10.0,2023-09-06 10:20:29,601.0,528.0,1.0,740.0,2023-09-06 10:20:29,2023-09-06 09:59:34
1693965574780,8.0,2023-09-06 10:20:29,521.0,422.0,1.0,740.0,2023-09-06 10:20:29,2023-09-06 09:59:34
1693965575520,8.0,2023-09-06 10:20:29,537.0,322.0,1.0,740.0,2023-09-06 10:20:29,2023-09-06 09:59:35
1693965576260,10.0,2023-09-06 10:20:29,429.0,243.0,1.0,740.0,2023-09-06 10:20:29,2023-09-06 09:59:36
1693965576990,8.0,2023-09-06 10:20:29,359.0,246.0,1.0,730.0,2023-09-06 10:20:29,2023-09-06 09:59:36
1693965577710,6.0,2023-09-06 10:20:29,405.0,278.0,1.0,720.0,2023-09-06 10:20:29,2023-09-06 09:59:37
