timestamp,reportType,mbbBefore,createTime,bm,uploadTime,rrInterval,mbbAfter,showtimestamp
1699413181900,1.0,96659.0,2023-11-08 11:24:54,288.0,2023-11-08 11:24:55,1950.0,51135.0,2023-11-08 11:13:01
1699413183520,1.0,63162.0,2023-11-08 11:24:54,566.0,2023-11-08 11:24:55,1620.0,9886.0,2023-11-08 11:13:03
1699413184200,1.0,6703.0,2023-11-08 11:24:54,118.0,2023-11-08 11:24:55,680.0,5668.0,2023-11-08 11:13:04
1699413184840,1.0,422.0,2023-11-08 11:24:54,172.0,2023-11-08 11:24:55,640.0,2560.0,2023-11-08 11:13:04
1699413185500,1.0,1768.0,2023-11-08 11:24:54,22.0,2023-11-08 11:24:55,660.0,1197.0,2023-11-08 11:13:05
1699413186180,1.0,389.0,2023-11-08 11:24:54,14.0,2023-11-08 11:24:55,680.0,1399.0,2023-11-08 11:13:06
1699413186880,1.0,13222.0,2023-11-08 11:24:54,12.0,2023-11-08 11:24:55,700.0,4603.0,2023-11-08 11:13:06
1699413188390,1.0,3931.0,2023-11-08 11:24:54,12.0,2023-11-08 11:24:55,1510.0,1172.0,2023-11-08 11:13:08
1699413189120,1.0,404.0,2023-11-08 11:24:54,2.0,2023-11-08 11:24:55,730.0,1083.0,2023-11-08 11:13:09
1699413189870,1.0,536.0,2023-11-08 11:24:54,18.0,2023-11-08 11:24:55,750.0,1754.0,2023-11-08 11:13:09
1699413190660,1.0,1103.0,2023-11-08 11:24:54,10.0,2023-11-08 11:24:55,790.0,906.0,2023-11-08 11:13:10
1699413191290,1.0,491.0,2023-11-08 11:24:54,16.0,2023-11-08 11:24:55,630.0,2339.0,2023-11-08 11:13:11
1699413192010,1.0,1202.0,2023-11-08 11:24:54,18.0,2023-11-08 11:24:55,720.0,2177.0,2023-11-08 11:13:12
1699413193300,1.0,2318.0,2023-11-08 11:24:54,32.0,2023-11-08 11:24:55,1290.0,1669.0,2023-11-08 11:13:13
1699413194180,1.0,1942.0,2023-11-08 11:24:54,18.0,2023-11-08 11:24:55,880.0,462.0,2023-11-08 11:13:14
1699413194640,1.0,349.0,2023-11-08 11:24:54,4.0,2023-11-08 11:24:55,460.0,1053.0,2023-11-08 11:13:14
1699413195360,1.0,458.0,2023-11-08 11:24:54,2.0,2023-11-08 11:24:55,720.0,545.0,2023-11-08 11:13:15
1699413196050,1.0,371.0,2023-11-08 11:24:54,8.0,2023-11-08 11:24:55,690.0,433.0,2023-11-08 11:13:16
1699413196730,1.0,454.0,2023-11-08 11:24:54,8.0,2023-11-08 11:24:55,680.0,965.0,2023-11-08 11:13:16
1699413197470,1.0,599.0,2023-11-08 11:24:54,8.0,2023-11-08 11:24:55,740.0,1254.0,2023-11-08 11:13:17
1699413198290,1.0,468.0,2023-11-08 11:24:54,30.0,2023-11-08 11:24:55,820.0,1148.0,2023-11-08 11:13:18
1699413199150,1.0,1715.0,2023-11-08 11:24:54,22.0,2023-11-08 11:24:55,860.0,4018.0,2023-11-08 11:13:19
1699413200610,1.0,6939.0,2023-11-08 11:24:54,14.0,2023-11-08 11:24:55,1460.0,380.0,2023-11-08 11:13:20
1699413201120,1.0,678.0,2023-11-08 11:24:54,40.0,2023-11-08 11:24:55,510.0,4556.0,2023-11-08 11:13:21
1699413202150,1.0,2705.0,2023-11-08 11:24:54,98.0,2023-11-08 11:24:55,1030.0,4436.0,2023-11-08 11:13:22
1699413202920,1.0,2787.0,2023-11-08 11:24:54,222.0,2023-11-08 11:24:55,770.0,15122.0,2023-11-08 11:13:22
1699413204620,1.0,6962.0,2023-11-08 11:24:54,112.0,2023-11-08 11:24:55,1700.0,3147.0,2023-11-08 11:13:24
1699413205180,1.0,3912.0,2023-11-08 11:24:54,8.0,2023-11-08 11:24:55,560.0,3456.0,2023-11-08 11:13:25
1699413205880,1.0,167.0,2023-11-08 11:24:54,86.0,2023-11-08 11:24:55,700.0,7377.0,2023-11-08 11:13:25
1699413207480,1.0,13182.0,2023-11-08 11:24:54,22.0,2023-11-08 11:24:55,1600.0,22447.0,2023-11-08 11:13:27
1699413209650,1.0,8939.0,2023-11-08 11:24:54,12.0,2023-11-08 11:24:55,2170.0,846.0,2023-11-08 11:13:29
1699413210380,1.0,331.0,2023-11-08 11:24:54,32.0,2023-11-08 11:24:55,730.0,144.0,2023-11-08 11:13:30
1699413210700,1.0,695.0,2023-11-08 11:24:54,12.0,2023-11-08 11:24:55,320.0,400.0,2023-11-08 11:13:30
1699413211190,1.0,795.0,2023-11-08 11:24:54,72.0,2023-11-08 11:24:55,490.0,1850.0,2023-11-08 11:13:31
1699413211950,1.0,7470.0,2023-11-08 11:24:54,56.0,2023-11-08 11:24:55,760.0,4858.0,2023-11-08 11:13:31
1699413212750,1.0,874.0,2023-11-08 11:24:54,30.0,2023-11-08 11:24:55,800.0,7567.0,2023-11-08 11:13:32
1699413213660,1.0,1631.0,2023-11-08 11:24:54,42.0,2023-11-08 11:24:55,910.0,520.0,2023-11-08 11:13:33
1699413214260,1.0,2285.0,2023-11-08 11:24:54,60.0,2023-11-08 11:24:55,600.0,6898.0,2023-11-08 11:13:34
1699413218550,1.0,2056.0,2023-11-08 11:24:54,52.0,2023-11-08 11:24:55,1030.0,78.0,2023-11-08 11:13:38
1699413219030,1.0,1705.0,2023-11-08 11:24:54,12.0,2023-11-08 11:24:55,480.0,3049.0,2023-11-08 11:13:39
1699413220600,1.0,5522.0,2023-11-08 11:24:54,10.0,2023-11-08 11:24:55,1570.0,5260.0,2023-11-08 11:13:40
1699413222060,1.0,2164.0,2023-11-08 11:24:54,172.0,2023-11-08 11:24:55,1460.0,530.0,2023-11-08 11:13:42
1699413222700,1.0,1165.0,2023-11-08 11:24:54,18.0,2023-11-08 11:24:55,640.0,976.0,2023-11-08 11:13:42
1699413223390,1.0,234.0,2023-11-08 11:24:54,18.0,2023-11-08 11:24:55,690.0,716.0,2023-11-08 11:13:43
1699413224150,1.0,489.0,2023-11-08 11:24:54,12.0,2023-11-08 11:24:55,760.0,153.0,2023-11-08 11:13:44
1699413224860,1.0,925.0,2023-11-08 11:24:54,30.0,2023-11-08 11:24:55,710.0,1209.0,2023-11-08 11:13:44
1699413225670,1.0,955.0,2023-11-08 11:24:54,280.0,2023-11-08 11:24:55,810.0,4328.0,2023-11-08 11:13:45
1699413227270,1.0,18737.0,2023-11-08 11:24:54,80.0,2023-11-08 11:24:55,1600.0,2724.0,2023-11-08 11:13:47
1699413227910,1.0,5872.0,2023-11-08 11:24:54,82.0,2023-11-08 11:24:55,640.0,7698.0,2023-11-08 11:13:47
1699413229330,1.0,7880.0,2023-11-08 11:24:54,62.0,2023-11-08 11:24:55,1420.0,190.0,2023-11-08 11:13:49
1699413229630,1.0,506.0,2023-11-08 11:24:54,24.0,2023-11-08 11:24:55,300.0,1388.0,2023-11-08 11:13:49
1699413230320,1.0,545.0,2023-11-08 11:24:54,14.0,2023-11-08 11:24:55,690.0,839.0,2023-11-08 11:13:50
1699413230950,1.0,413.0,2023-11-08 11:24:54,4.0,2023-11-08 11:24:55,630.0,679.0,2023-11-08 11:13:50
1699413231640,1.0,413.0,2023-11-08 11:24:54,8.0,2023-11-08 11:24:55,690.0,782.0,2023-11-08 11:13:51
1699413232310,1.0,291.0,2023-11-08 11:24:54,6.0,2023-11-08 11:24:55,670.0,620.0,2023-11-08 11:13:52
1699413233090,1.0,478.0,2023-11-08 11:24:54,6.0,2023-11-08 11:24:55,780.0,823.0,2023-11-08 11:13:53
