timestamp,reportType,mbbBefore,createTime,bm,uploadTime,rrInterval,mbbAfter,showtimestamp
1697254140660,1.0,1411.0,2023-10-14 11:50:09,10.0,2023-10-14 11:50:09,760.0,2520.0,2023-10-14 11:29:00
1697254141430,1.0,1198.0,2023-10-14 11:50:09,128.0,2023-10-14 11:50:09,770.0,932.0,2023-10-14 11:29:01
1697254141840,1.0,206.0,2023-10-14 11:50:09,64.0,2023-10-14 11:50:09,410.0,10705.0,2023-10-14 11:29:01
1697254143130,1.0,5858.0,2023-10-14 11:50:09,8.0,2023-10-14 11:50:09,1290.0,2449.0,2023-10-14 11:29:03
1697254143920,1.0,1261.0,2023-10-14 11:50:09,22.0,2023-10-14 11:50:09,790.0,2387.0,2023-10-14 11:29:03
1697254144710,1.0,1392.0,2023-10-14 11:50:09,34.0,2023-10-14 11:50:09,790.0,2667.0,2023-10-14 11:29:04
1697254145480,1.0,980.0,2023-10-14 11:50:09,56.0,2023-10-14 11:50:09,770.0,3798.0,2023-10-14 11:29:05
1697254146300,1.0,3570.0,2023-10-14 11:50:09,74.0,2023-10-14 11:50:09,820.0,5158.0,2023-10-14 11:29:06
1697254147100,1.0,2332.0,2023-10-14 11:50:09,20.0,2023-10-14 11:50:09,800.0,2571.0,2023-10-14 11:29:07
1697254147820,1.0,1675.0,2023-10-14 11:50:09,12.0,2023-10-14 11:50:09,720.0,3331.0,2023-10-14 11:29:07
1697254148560,1.0,2016.0,2023-10-14 11:50:09,34.0,2023-10-14 11:50:09,740.0,2891.0,2023-10-14 11:29:08
1697254149360,1.0,3757.0,2023-10-14 11:50:09,16.0,2023-10-14 11:50:09,800.0,11823.0,2023-10-14 11:29:09
1697254150120,1.0,3828.0,2023-10-14 11:50:09,8.0,2023-10-14 11:50:09,760.0,3236.0,2023-10-14 11:29:10
1697254150830,1.0,4388.0,2023-10-14 11:50:09,8.0,2023-10-14 11:50:09,710.0,4793.0,2023-10-14 11:29:10
1697254151680,1.0,4124.0,2023-10-14 11:50:09,14.0,2023-10-14 11:50:09,850.0,3568.0,2023-10-14 11:29:11
1697254152460,1.0,2181.0,2023-10-14 11:50:09,6.0,2023-10-14 11:50:09,780.0,3951.0,2023-10-14 11:29:12
1697254153270,1.0,2371.0,2023-10-14 11:50:09,12.0,2023-10-14 11:50:09,810.0,5658.0,2023-10-14 11:29:13
1697254154090,1.0,1800.0,2023-10-14 11:50:09,98.0,2023-10-14 11:50:09,820.0,1444.0,2023-10-14 11:29:14
1697254154920,1.0,1925.0,2023-10-14 11:50:09,12.0,2023-10-14 11:50:09,830.0,2939.0,2023-10-14 11:29:14
1697254155680,1.0,1980.0,2023-10-14 11:50:09,12.0,2023-10-14 11:50:09,760.0,3308.0,2023-10-14 11:29:15
1697254156420,1.0,2359.0,2023-10-14 11:50:09,6.0,2023-10-14 11:50:09,740.0,3360.0,2023-10-14 11:29:16
1697254157120,1.0,1847.0,2023-10-14 11:50:09,8.0,2023-10-14 11:50:09,700.0,3746.0,2023-10-14 11:29:17
1697254157880,1.0,2940.0,2023-10-14 11:50:09,22.0,2023-10-14 11:50:09,760.0,4773.0,2023-10-14 11:29:17
1697254158650,1.0,3309.0,2023-10-14 11:50:09,38.0,2023-10-14 11:50:09,770.0,6415.0,2023-10-14 11:29:18
1697254159410,1.0,4005.0,2023-10-14 11:50:09,6.0,2023-10-14 11:50:09,760.0,4276.0,2023-10-14 11:29:19
1697254160180,1.0,2334.0,2023-10-14 11:50:09,2.0,2023-10-14 11:50:09,770.0,3199.0,2023-10-14 11:29:20
1697254160930,1.0,1885.0,2023-10-14 11:50:09,20.0,2023-10-14 11:50:09,750.0,3471.0,2023-10-14 11:29:20
1697254161710,1.0,2122.0,2023-10-14 11:50:09,10.0,2023-10-14 11:50:09,780.0,3093.0,2023-10-14 11:29:21
1697254162570,1.0,6426.0,2023-10-14 11:50:09,802.0,2023-10-14 11:50:09,860.0,17048.0,2023-10-14 11:29:22
1697254163980,1.0,28076.0,2023-10-14 11:50:09,2084.0,2023-10-14 11:50:09,1410.0,2155.0,2023-10-14 11:29:23
1697254164630,1.0,15244.0,2023-10-14 11:50:09,330.0,2023-10-14 11:50:09,650.0,14304.0,2023-10-14 11:29:24
1697254165570,1.0,5299.0,2023-10-14 11:50:09,114.0,2023-10-14 11:50:09,940.0,5064.0,2023-10-14 11:29:25
1697254166310,1.0,3208.0,2023-10-14 11:50:09,66.0,2023-10-14 11:50:09,740.0,2915.0,2023-10-14 11:29:26
1697254170230,1.0,52286.0,2023-10-14 11:50:09,84.0,2023-10-14 11:50:09,1370.0,17756.0,2023-10-14 11:29:30
1697254171610,1.0,821.0,2023-10-14 11:50:09,42.0,2023-10-14 11:50:09,1380.0,720.0,2023-10-14 11:29:31
1697254172350,1.0,699.0,2023-10-14 11:50:09,38.0,2023-10-14 11:50:09,740.0,1773.0,2023-10-14 11:29:32
1697254173120,1.0,1028.0,2023-10-14 11:50:09,24.0,2023-10-14 11:50:09,770.0,634.0,2023-10-14 11:29:33
1697254173860,1.0,2168.0,2023-10-14 11:50:09,8.0,2023-10-14 11:50:09,740.0,3008.0,2023-10-14 11:29:33
1697254174610,1.0,850.0,2023-10-14 11:50:09,138.0,2023-10-14 11:50:09,750.0,3159.0,2023-10-14 11:29:34
1697254175390,1.0,10146.0,2023-10-14 11:50:09,376.0,2023-10-14 11:50:09,780.0,19248.0,2023-10-14 11:29:35
1697254177480,1.0,8022.0,2023-10-14 11:50:09,140.0,2023-10-14 11:50:09,2090.0,858.0,2023-10-14 11:29:37
1697254178120,1.0,3453.0,2023-10-14 11:50:09,72.0,2023-10-14 11:50:09,640.0,5945.0,2023-10-14 11:29:38
1697254178810,1.0,2161.0,2023-10-14 11:50:09,46.0,2023-10-14 11:50:09,690.0,3036.0,2023-10-14 11:29:38
