timestamp,bm,createTime,mbbAfter,mbbBefore,reportType,rrInterval,uploadTime,showtimestamp
1692862363800,26.0,2023-08-24 16:01:08,4446.0,7557.0,1.0,920.0,2023-08-24 16:01:07,2023-08-24 15:32:43
1692862364430,12.0,2023-08-24 16:01:08,508.0,2001.0,1.0,630.0,2023-08-24 16:01:07,2023-08-24 15:32:44
1692862364750,22.0,2023-08-24 16:01:08,3747.0,1479.0,1.0,320.0,2023-08-24 16:01:07,2023-08-24 15:32:44
1692862366270,60.0,2023-08-24 16:01:08,11854.0,26593.0,1.0,1520.0,2023-08-24 16:01:07,2023-08-24 15:32:46
1692862366970,30.0,2023-08-24 16:01:08,6255.0,10933.0,1.0,700.0,2023-08-24 16:01:07,2023-08-24 15:32:46
1692862367620,28.0,2023-08-24 16:01:08,3996.0,2918.0,1.0,650.0,2023-08-24 16:01:07,2023-08-24 15:32:47
1692862368100,16.0,2023-08-24 16:01:08,4947.0,9208.0,1.0,480.0,2023-08-24 16:01:07,2023-08-24 15:32:48
1692862368420,20.0,2023-08-24 16:01:08,4748.0,1638.0,1.0,320.0,2023-08-24 16:01:07,2023-08-24 15:32:48
1692862369430,30.0,2023-08-24 16:01:08,15475.0,21372.0,1.0,1010.0,2023-08-24 16:01:07,2023-08-24 15:32:49
1692862370890,24.0,2023-08-24 16:01:08,3054.0,7200.0,1.0,1460.0,2023-08-24 16:01:07,2023-08-24 15:32:50
1692862371540,24.0,2023-08-24 16:01:08,4493.0,514.0,1.0,650.0,2023-08-24 16:01:07,2023-08-24 15:32:51
1692862372250,4.0,2023-08-24 16:01:08,228.0,629.0,1.0,710.0,2023-08-24 16:01:07,2023-08-24 15:32:52
1692862372660,6.0,2023-08-24 16:01:08,2785.0,612.0,1.0,410.0,2023-08-24 16:01:07,2023-08-24 15:32:52
1692862373730,10.0,2023-08-24 16:01:08,2248.0,879.0,1.0,1070.0,2023-08-24 16:01:07,2023-08-24 15:32:53
1692862374140,44.0,2023-08-24 16:01:08,2126.0,2385.0,1.0,410.0,2023-08-24 16:01:07,2023-08-24 15:32:54
1692862374540,72.0,2023-08-24 16:01:08,22426.0,1255.0,1.0,400.0,2023-08-24 16:01:07,2023-08-24 15:32:54
1692862375520,148.0,2023-08-24 16:01:08,3838.0,3396.0,1.0,980.0,2023-08-24 16:01:07,2023-08-24 15:32:55
1692862375850,34.0,2023-08-24 16:01:08,8102.0,3005.0,1.0,330.0,2023-08-24 16:01:07,2023-08-24 15:32:55
1692862376920,22.0,2023-08-24 16:01:08,761.0,3802.0,1.0,1070.0,2023-08-24 16:01:07,2023-08-24 15:32:56
1692862377260,48.0,2023-08-24 16:01:08,1630.0,244.0,1.0,340.0,2023-08-24 16:01:07,2023-08-24 15:32:57
1692862377920,28.0,2023-08-24 16:01:08,110.0,4649.0,1.0,660.0,2023-08-24 16:01:07,2023-08-24 15:32:57
1692862378370,20.0,2023-08-24 16:01:08,3006.0,2849.0,1.0,450.0,2023-08-24 16:01:07,2023-08-24 15:32:58
1692862378990,24.0,2023-08-24 16:01:08,9903.0,1753.0,1.0,620.0,2023-08-24 16:01:07,2023-08-24 15:32:58
1692862379620,26.0,2023-08-24 16:01:08,542.0,2030.0,1.0,630.0,2023-08-24 16:01:07,2023-08-24 15:32:59
1692862380020,54.0,2023-08-24 16:01:08,910.0,1197.0,1.0,400.0,2023-08-24 16:01:07,2023-08-24 15:33:00
1692862380860,70.0,2023-08-24 16:01:08,2034.0,4034.0,1.0,840.0,2023-08-24 16:01:07,2023-08-24 15:33:00
1692862381170,22.0,2023-08-24 16:01:08,3750.0,413.0,1.0,310.0,2023-08-24 16:01:07,2023-08-24 15:33:01
1692862382090,20.0,2023-08-24 16:01:08,1987.0,9631.0,1.0,920.0,2023-08-24 16:01:07,2023-08-24 15:33:02
1692862382550,14.0,2023-08-24 16:01:08,1779.0,1547.0,1.0,460.0,2023-08-24 16:01:07,2023-08-24 15:33:02
1692862383020,42.0,2023-08-24 16:01:08,221.0,64.0,1.0,470.0,2023-08-24 16:01:07,2023-08-24 15:33:03
1692862383280,20.0,2023-08-24 16:01:08,498.0,672.0,1.0,260.0,2023-08-24 16:01:07,2023-08-24 15:33:03
1692862383670,18.0,2023-08-24 16:01:08,3588.0,1961.0,1.0,390.0,2023-08-24 16:01:07,2023-08-24 15:33:03
1692862384330,18.0,2023-08-24 16:01:08,930.0,1700.0,1.0,660.0,2023-08-24 16:01:07,2023-08-24 15:33:04
1692862384600,24.0,2023-08-24 16:01:08,199.0,316.0,1.0,270.0,2023-08-24 16:01:07,2023-08-24 15:33:04
1692862384900,42.0,2023-08-24 16:01:08,1834.0,1632.0,1.0,300.0,2023-08-24 16:01:07,2023-08-24 15:33:04
1692862385480,196.0,2023-08-24 16:01:08,20635.0,529.0,1.0,580.0,2023-08-24 16:01:07,2023-08-24 15:33:05
1692862386310,74.0,2023-08-24 16:01:08,7667.0,15414.0,1.0,830.0,2023-08-24 16:01:07,2023-08-24 15:33:06
1692862386850,36.0,2023-08-24 16:01:08,907.0,771.0,1.0,540.0,2023-08-24 16:01:07,2023-08-24 15:33:06
1692862387290,184.0,2023-08-24 16:01:08,89.0,1336.0,1.0,440.0,2023-08-24 16:01:07,2023-08-24 15:33:07
1692862387620,24.0,2023-08-24 16:01:08,4570.0,4401.0,1.0,330.0,2023-08-24 16:01:07,2023-08-24 15:33:07
1692862388140,84.0,2023-08-24 16:01:08,61546.0,8989.0,1.0,520.0,2023-08-24 16:01:07,2023-08-24 15:33:08
1692862390330,52.0,2023-08-24 16:01:08,13790.0,60634.0,1.0,2190.0,2023-08-24 16:01:07,2023-08-24 15:33:10
1692862391040,356.0,2023-08-24 16:01:08,29376.0,14146.0,1.0,710.0,2023-08-24 16:01:07,2023-08-24 15:33:11
1692862391660,116.0,2023-08-24 16:01:08,138885.0,97075.0,1.0,620.0,2023-08-24 16:01:07,2023-08-24 15:33:11
1692862393720,112.0,2023-08-24 16:01:08,13500.0,238485.0,1.0,2060.0,2023-08-24 16:01:07,2023-08-24 15:33:13
1692862394170,38.0,2023-08-24 16:01:08,14426.0,12152.0,1.0,450.0,2023-08-24 16:01:07,2023-08-24 15:33:14
1692862394580,84.0,2023-08-24 16:01:08,10794.0,10466.0,1.0,410.0,2023-08-24 16:01:07,2023-08-24 15:33:14
1692862395100,88.0,2023-08-24 16:01:08,12483.0,15534.0,1.0,520.0,2023-08-24 16:01:07,2023-08-24 15:33:15
1692862396390,80.0,2023-08-24 16:01:08,6587.0,31871.0,1.0,1290.0,2023-08-24 16:01:07,2023-08-24 15:33:16
1692862397490,54.0,2023-08-24 16:01:08,618.0,663.0,1.0,1100.0,2023-08-24 16:01:07,2023-08-24 15:33:17
1692862397890,52.0,2023-08-24 16:01:08,2015.0,381.0,1.0,400.0,2023-08-24 16:01:07,2023-08-24 15:33:17
1692862399050,40.0,2023-08-24 16:01:08,1648.0,2164.0,1.0,1160.0,2023-08-24 16:01:07,2023-08-24 15:33:19
1692862399770,82.0,2023-08-24 16:01:08,1902.0,1120.0,1.0,720.0,2023-08-24 16:01:07,2023-08-24 15:33:19
1692862400580,112.0,2023-08-24 16:01:08,3695.0,1376.0,1.0,810.0,2023-08-24 16:01:07,2023-08-24 15:33:20
1692862401470,52.0,2023-08-24 16:01:08,2763.0,2323.0,1.0,890.0,2023-08-24 16:01:07,2023-08-24 15:33:21
1692862402760,58.0,2023-08-24 16:01:08,1857.0,416.0,1.0,1290.0,2023-08-24 16:01:07,2023-08-24 15:33:22
1692862403550,88.0,2023-08-24 16:01:08,634.0,988.0,1.0,790.0,2023-08-24 16:01:07,2023-08-24 15:33:23
1692862404270,66.0,2023-08-24 16:01:08,26546.0,1340.0,1.0,720.0,2023-08-24 16:01:07,2023-08-24 15:33:24
1692862405330,88.0,2023-08-24 16:01:08,4529.0,7381.0,1.0,1060.0,2023-08-24 16:01:07,2023-08-24 15:33:25
1692862405740,122.0,2023-08-24 16:01:08,983.0,629.0,1.0,410.0,2023-08-24 16:01:07,2023-08-24 15:33:25
1692862406350,42.0,2023-08-24 16:01:08,108.0,584.0,1.0,610.0,2023-08-24 16:01:07,2023-08-24 15:33:26
