timestamp,bm,createTime,mbbAfter,mbbBefore,reportType,rrInterval,uploadTime,showtimestamp
1692866820700,446.0,2023-08-31 14:26:10,19937.0,11571.0,1.0,1050.0,2023-08-31 14:26:11,2023-08-24 16:47:00
1692866821680,532.0,2023-08-31 14:26:10,11750.0,3100.0,1.0,980.0,2023-08-31 14:26:11,2023-08-24 16:47:01
1692866823140,512.0,2023-08-31 14:26:10,17240.0,22938.0,1.0,1460.0,2023-08-31 14:26:11,2023-08-24 16:47:03
1692866825400,28.0,2023-08-31 14:26:10,5021.0,40134.0,1.0,2260.0,2023-08-31 14:26:11,2023-08-24 16:47:05
1692866826940,20.0,2023-08-31 14:26:10,787.0,9956.0,1.0,1540.0,2023-08-31 14:26:11,2023-08-24 16:47:06
1692866827660,6.0,2023-08-31 14:26:10,1304.0,658.0,1.0,720.0,2023-08-31 14:26:11,2023-08-24 16:47:07
1692866828390,16.0,2023-08-31 14:26:10,994.0,560.0,1.0,730.0,2023-08-31 14:26:11,2023-08-24 16:47:08
1692866832440,24.0,2023-08-31 14:26:10,1661.0,1576.0,1.0,1290.0,2023-08-31 14:26:11,2023-08-24 16:47:12
1692866833180,16.0,2023-08-31 14:26:10,581.0,606.0,1.0,740.0,2023-08-31 14:26:11,2023-08-24 16:47:13
1692866833960,24.0,2023-08-31 14:26:10,698.0,376.0,1.0,780.0,2023-08-31 14:26:11,2023-08-24 16:47:13
1692866834780,2.0,2023-08-31 14:26:10,712.0,440.0,1.0,820.0,2023-08-31 14:26:11,2023-08-24 16:47:14
1692866835580,8.0,2023-08-31 14:26:10,712.0,303.0,1.0,800.0,2023-08-31 14:26:11,2023-08-24 16:47:15
1692866836390,60.0,2023-08-31 14:26:10,2631.0,339.0,1.0,810.0,2023-08-31 14:26:11,2023-08-24 16:47:16
1692866837920,72.0,2023-08-31 14:26:10,12502.0,2288.0,1.0,1530.0,2023-08-31 14:26:11,2023-08-24 16:47:17
1692866839580,358.0,2023-08-31 14:26:10,9101.0,6206.0,1.0,1660.0,2023-08-31 14:26:11,2023-08-24 16:47:19
1692866841230,356.0,2023-08-31 14:26:10,7815.0,5092.0,1.0,1650.0,2023-08-31 14:26:11,2023-08-24 16:47:21
1692866842080,356.0,2023-08-31 14:26:10,483.0,4497.0,1.0,850.0,2023-08-31 14:26:11,2023-08-24 16:47:22
1692866842380,458.0,2023-08-31 14:26:10,9390.0,692.0,1.0,300.0,2023-08-31 14:26:11,2023-08-24 16:47:22
1692866843850,104.0,2023-08-31 14:26:10,10933.0,8152.0,1.0,1470.0,2023-08-31 14:26:11,2023-08-24 16:47:23
1692866845320,104.0,2023-08-31 14:26:10,204.0,503.0,1.0,1470.0,2023-08-31 14:26:11,2023-08-24 16:47:25
1692866845700,26.0,2023-08-31 14:26:10,218.0,1149.0,1.0,380.0,2023-08-31 14:26:11,2023-08-24 16:47:25
1692866846370,304.0,2023-08-31 14:26:10,3509.0,586.0,1.0,670.0,2023-08-31 14:26:11,2023-08-24 16:47:26
1692866847180,162.0,2023-08-31 14:26:10,9050.0,3775.0,1.0,810.0,2023-08-31 14:26:11,2023-08-24 16:47:27
1692866848080,486.0,2023-08-31 14:26:10,19904.0,18742.0,1.0,900.0,2023-08-31 14:26:11,2023-08-24 16:47:28
1692866850140,136.0,2023-08-31 14:26:10,44282.0,2185.0,1.0,2060.0,2023-08-31 14:26:11,2023-08-24 16:47:30
1692866852110,54.0,2023-08-31 14:26:10,3443.0,5052.0,1.0,1970.0,2023-08-31 14:26:11,2023-08-24 16:47:32
1692866852880,12.0,2023-08-31 14:26:10,548.0,759.0,1.0,770.0,2023-08-31 14:26:11,2023-08-24 16:47:32
1692866853880,132.0,2023-08-31 14:26:10,1067.0,1594.0,1.0,1000.0,2023-08-31 14:26:11,2023-08-24 16:47:33
