timestamp,bm,createTime,mbbAfter,mbbBefore,reportType,rrInterval,uploadTime,showtimestamp
1694070840400,16.0,2023-09-07 15:36:05,1308.0,1130.0,1.0,700.0,2023-09-07 15:36:04,2023-09-07 15:14:00
1694070840900,4.0,2023-09-07 15:36:05,243.0,200.0,1.0,500.0,2023-09-07 15:36:04,2023-09-07 15:14:00
1694070841310,20.0,2023-09-07 15:36:05,948.0,1228.0,1.0,410.0,2023-09-07 15:36:04,2023-09-07 15:14:01
1694070841820,12.0,2023-09-07 15:36:05,105.0,221.0,1.0,510.0,2023-09-07 15:36:04,2023-09-07 15:14:01
1694070842130,28.0,2023-09-07 15:36:05,1971.0,793.0,1.0,310.0,2023-09-07 15:36:04,2023-09-07 15:14:02
1694070842940,6.0,2023-09-07 15:36:05,1075.0,957.0,1.0,810.0,2023-09-07 15:36:04,2023-09-07 15:14:02
1694070843590,26.0,2023-09-07 15:36:05,2443.0,331.0,1.0,650.0,2023-09-07 15:36:04,2023-09-07 15:14:03
1694070844270,28.0,2023-09-07 15:36:05,365.0,1139.0,1.0,680.0,2023-09-07 15:36:04,2023-09-07 15:14:04
1694070844750,32.0,2023-09-07 15:36:05,25704.0,4789.0,1.0,480.0,2023-09-07 15:36:04,2023-09-07 15:14:04
1694070845890,18.0,2023-09-07 15:36:05,3022.0,19289.0,1.0,1140.0,2023-09-07 15:36:04,2023-09-07 15:14:05
1694070846410,26.0,2023-09-07 15:36:05,1426.0,330.0,1.0,520.0,2023-09-07 15:36:04,2023-09-07 15:14:06
1694070847160,16.0,2023-09-07 15:36:05,2175.0,327.0,1.0,750.0,2023-09-07 15:36:04,2023-09-07 15:14:07
1694070848120,60.0,2023-09-07 15:36:05,4778.0,2450.0,1.0,960.0,2023-09-07 15:36:04,2023-09-07 15:14:08
1694070848680,34.0,2023-09-07 15:36:05,2341.0,2016.0,1.0,560.0,2023-09-07 15:36:04,2023-09-07 15:14:08
1694070849410,28.0,2023-09-07 15:36:05,545.0,807.0,1.0,730.0,2023-09-07 15:36:04,2023-09-07 15:14:09
1694070850180,12.0,2023-09-07 15:36:05,1217.0,1488.0,1.0,770.0,2023-09-07 15:36:04,2023-09-07 15:14:10
1694070850860,0.0,2023-09-07 15:36:05,2921.0,626.0,1.0,680.0,2023-09-07 15:36:04,2023-09-07 15:14:10
1694070852480,8.0,2023-09-07 15:36:05,1519.0,3533.0,1.0,1620.0,2023-09-07 15:36:04,2023-09-07 15:14:12
1694070853280,10.0,2023-09-07 15:36:05,713.0,614.0,1.0,800.0,2023-09-07 15:36:04,2023-09-07 15:14:13
1694070854060,2.0,2023-09-07 15:36:05,1424.0,640.0,1.0,780.0,2023-09-07 15:36:04,2023-09-07 15:14:14
1694070854870,12.0,2023-09-07 15:36:05,1709.0,884.0,1.0,810.0,2023-09-07 15:36:04,2023-09-07 15:14:14
1694070855630,32.0,2023-09-07 15:36:05,1129.0,751.0,1.0,760.0,2023-09-07 15:36:04,2023-09-07 15:14:15
1694070856530,6.0,2023-09-07 15:36:05,2508.0,2322.0,1.0,900.0,2023-09-07 15:36:04,2023-09-07 15:14:16
1694070857290,12.0,2023-09-07 15:36:05,2118.0,2631.0,1.0,760.0,2023-09-07 15:36:04,2023-09-07 15:14:17
1694070858010,14.0,2023-09-07 15:36:05,1323.0,967.0,1.0,720.0,2023-09-07 15:36:04,2023-09-07 15:14:18
1694070858700,8.0,2023-09-07 15:36:05,1480.0,598.0,1.0,690.0,2023-09-07 15:36:04,2023-09-07 15:14:18
1694070859430,6.0,2023-09-07 15:36:05,1579.0,1177.0,1.0,730.0,2023-09-07 15:36:04,2023-09-07 15:14:19
1694070860200,10.0,2023-09-07 15:36:05,1794.0,910.0,1.0,770.0,2023-09-07 15:36:04,2023-09-07 15:14:20
1694070861060,4.0,2023-09-07 15:36:05,1773.0,1416.0,1.0,860.0,2023-09-07 15:36:04,2023-09-07 15:14:21
1694070861900,14.0,2023-09-07 15:36:05,1826.0,1159.0,1.0,840.0,2023-09-07 15:36:04,2023-09-07 15:14:21
1694070862820,18.0,2023-09-07 15:36:05,1533.0,1225.0,1.0,920.0,2023-09-07 15:36:04,2023-09-07 15:14:22
1694070863590,8.0,2023-09-07 15:36:05,717.0,761.0,1.0,770.0,2023-09-07 15:36:05,2023-09-07 15:14:23
1694070864340,14.0,2023-09-07 15:36:05,494.0,834.0,1.0,750.0,2023-09-07 15:36:05,2023-09-07 15:14:24
1694070864980,8.0,2023-09-07 15:36:05,1347.0,557.0,1.0,640.0,2023-09-07 15:36:05,2023-09-07 15:14:24
1694070865800,8.0,2023-09-07 15:36:05,541.0,862.0,1.0,820.0,2023-09-07 15:36:05,2023-09-07 15:14:25
1694070866580,10.0,2023-09-07 15:36:05,1703.0,1042.0,1.0,780.0,2023-09-07 15:36:05,2023-09-07 15:14:26
1694070867440,8.0,2023-09-07 15:36:05,1191.0,976.0,1.0,860.0,2023-09-07 15:36:05,2023-09-07 15:14:27
1694070868250,14.0,2023-09-07 15:36:05,3116.0,798.0,1.0,810.0,2023-09-07 15:36:05,2023-09-07 15:14:28
1694070869100,6.0,2023-09-07 15:36:05,1184.0,1003.0,1.0,850.0,2023-09-07 15:36:05,2023-09-07 15:14:29
1694070869850,4.0,2023-09-07 15:36:05,1077.0,832.0,1.0,750.0,2023-09-07 15:36:05,2023-09-07 15:14:29
1694070870680,6.0,2023-09-07 15:36:05,1538.0,1139.0,1.0,830.0,2023-09-07 15:36:05,2023-09-07 15:14:30
1694070871380,10.0,2023-09-07 15:36:05,1273.0,1693.0,1.0,700.0,2023-09-07 15:36:05,2023-09-07 15:14:31
1694070872180,4.0,2023-09-07 15:36:05,938.0,1037.0,1.0,800.0,2023-09-07 15:36:05,2023-09-07 15:14:32
1694070873010,18.0,2023-09-07 15:36:05,1102.0,408.0,1.0,270.0,2023-09-07 15:36:05,2023-09-07 15:14:33
1694070873830,8.0,2023-09-07 15:36:05,960.0,1609.0,1.0,820.0,2023-09-07 15:36:05,2023-09-07 15:14:33
1694070874660,8.0,2023-09-07 15:36:05,718.0,894.0,1.0,830.0,2023-09-07 15:36:05,2023-09-07 15:14:34
1694070875340,6.0,2023-09-07 15:36:05,1216.0,857.0,1.0,680.0,2023-09-07 15:36:05,2023-09-07 15:14:35
1694070876120,10.0,2023-09-07 15:36:05,1248.0,948.0,1.0,780.0,2023-09-07 15:36:05,2023-09-07 15:14:36
1694070876940,10.0,2023-09-07 15:36:05,1166.0,902.0,1.0,820.0,2023-09-07 15:36:05,2023-09-07 15:14:36
1694070877690,36.0,2023-09-07 15:36:05,1569.0,565.0,1.0,750.0,2023-09-07 15:36:05,2023-09-07 15:14:37
1694070878420,20.0,2023-09-07 15:36:05,366.0,801.0,1.0,730.0,2023-09-07 15:36:05,2023-09-07 15:14:38
1694070878800,18.0,2023-09-07 15:36:05,263.0,367.0,1.0,380.0,2023-09-07 15:36:05,2023-09-07 15:14:38
1694070879270,12.0,2023-09-07 15:36:05,2251.0,1935.0,1.0,470.0,2023-09-07 15:36:05,2023-09-07 15:14:39
1694070879900,16.0,2023-09-07 15:36:05,570.0,1084.0,1.0,630.0,2023-09-07 15:36:05,2023-09-07 15:14:39
1694070880890,20.0,2023-09-07 15:36:05,1626.0,2065.0,1.0,990.0,2023-09-07 15:36:05,2023-09-07 15:14:40
1694070881500,22.0,2023-09-07 15:36:05,1106.0,916.0,1.0,610.0,2023-09-07 15:36:05,2023-09-07 15:14:41
1694070882110,18.0,2023-09-07 15:36:05,1440.0,816.0,1.0,610.0,2023-09-07 15:36:05,2023-09-07 15:14:42
