timestamp,bm,createTime,mbbAfter,mbbBefore,reportType,rrInterval,uploadTime,showtimestamp
1694675280070,62.0,2023-09-14 15:56:24,5920.0,2717.0,1.0,800.0,2023-09-14 15:56:24,2023-09-14 15:08:00
1694675280900,16.0,2023-09-14 15:56:24,3151.0,3483.0,1.0,830.0,2023-09-14 15:56:24,2023-09-14 15:08:00
1694675281720,26.0,2023-09-14 15:56:24,4496.0,4896.0,1.0,820.0,2023-09-14 15:56:24,2023-09-14 15:08:01
1694675282500,38.0,2023-09-14 15:56:24,414.0,1018.0,1.0,780.0,2023-09-14 15:56:24,2023-09-14 15:08:02
1694675283290,24.0,2023-09-14 15:56:24,5416.0,3888.0,1.0,790.0,2023-09-14 15:56:24,2023-09-14 15:08:03
1694675284160,2.0,2023-09-14 15:56:24,2316.0,2857.0,1.0,870.0,2023-09-14 15:56:24,2023-09-14 15:08:04
1694675284960,492.0,2023-09-14 15:56:24,6858.0,2219.0,1.0,800.0,2023-09-14 15:56:24,2023-09-14 15:08:04
1694675285870,30.0,2023-09-14 15:56:24,3643.0,4285.0,1.0,910.0,2023-09-14 15:56:24,2023-09-14 15:08:05
1694675286660,56.0,2023-09-14 15:56:24,2118.0,1208.0,1.0,790.0,2023-09-14 15:56:24,2023-09-14 15:08:06
1694675287400,36.0,2023-09-14 15:56:24,1814.0,952.0,1.0,740.0,2023-09-14 15:56:24,2023-09-14 15:08:07
1694675288150,24.0,2023-09-14 15:56:24,570.0,1160.0,1.0,750.0,2023-09-14 15:56:24,2023-09-14 15:08:08
1694675288490,56.0,2023-09-14 15:56:24,755.0,152.0,1.0,340.0,2023-09-14 15:56:24,2023-09-14 15:08:08
1694675288930,16.0,2023-09-14 15:56:24,1021.0,744.0,1.0,440.0,2023-09-14 15:56:24,2023-09-14 15:08:08
1694675289790,6.0,2023-09-14 15:56:24,3055.0,2323.0,1.0,860.0,2023-09-14 15:56:24,2023-09-14 15:08:09
1694675290580,22.0,2023-09-14 15:56:24,5152.0,3220.0,1.0,790.0,2023-09-14 15:56:24,2023-09-14 15:08:10
1694675291440,16.0,2023-09-14 15:56:24,2743.0,4056.0,1.0,860.0,2023-09-14 15:56:24,2023-09-14 15:08:11
1694675292230,6.0,2023-09-14 15:56:24,3502.0,2570.0,1.0,790.0,2023-09-14 15:56:24,2023-09-14 15:08:12
1694675293030,12.0,2023-09-14 15:56:24,3290.0,2776.0,1.0,800.0,2023-09-14 15:56:24,2023-09-14 15:08:13
1694675293840,8.0,2023-09-14 15:56:24,2994.0,2668.0,1.0,810.0,2023-09-14 15:56:24,2023-09-14 15:08:13
1694675294640,16.0,2023-09-14 15:56:24,3817.0,2726.0,1.0,800.0,2023-09-14 15:56:24,2023-09-14 15:08:14
1694675295470,82.0,2023-09-14 15:56:24,3917.0,2957.0,1.0,830.0,2023-09-14 15:56:24,2023-09-14 15:08:15
1694675296310,64.0,2023-09-14 15:56:24,1978.0,2344.0,1.0,840.0,2023-09-14 15:56:24,2023-09-14 15:08:16
1694675297080,14.0,2023-09-14 15:56:24,3252.0,2396.0,1.0,770.0,2023-09-14 15:56:24,2023-09-14 15:08:17
1694675297830,20.0,2023-09-14 15:56:24,3075.0,1962.0,1.0,750.0,2023-09-14 15:56:24,2023-09-14 15:08:17
1694675298580,166.0,2023-09-14 15:56:24,2990.0,2422.0,1.0,750.0,2023-09-14 15:56:24,2023-09-14 15:08:18
1694675299310,54.0,2023-09-14 15:56:24,1964.0,2817.0,1.0,730.0,2023-09-14 15:56:24,2023-09-14 15:08:19
1694675300090,32.0,2023-09-14 15:56:24,436.0,1307.0,1.0,780.0,2023-09-14 15:56:24,2023-09-14 15:08:20
1694675300390,12.0,2023-09-14 15:56:24,498.0,188.0,1.0,300.0,2023-09-14 15:56:24,2023-09-14 15:08:20
1694675300930,6.0,2023-09-14 15:56:24,3716.0,1842.0,1.0,540.0,2023-09-14 15:56:24,2023-09-14 15:08:20
1694675301720,40.0,2023-09-14 15:56:24,2817.0,2331.0,1.0,790.0,2023-09-14 15:56:24,2023-09-14 15:08:21
