timestamp,rrInterval,areaUp,areaDown,motion
1693551781020,560,2937,1338,2
1693551782020,1000,1379,6750,40
1693551782730,710,4105,3452,6
1693551783430,700,1311,6069,10
1693551784190,760,6858,3631,4
1693551784990,800,2335,11208,0
1693551785780,790,1991,8918,0
1693551786510,730,6916,2124,2
1693556258650,490,33564,4517,122
1693556259270,620,31075,1138,258
1693556259620,350,4077,3926,118
1693556260420,800,8674,6334,172
1693556260840,420,4798,16931,122
1693556261940,1100,41641,2139,378
1693556262740,800,8930,10801,140
1693556263310,570,3496,20940,176
1693556264460,1150,43569,9611,272
1693556265600,1140,24136,11557,224
1693556265990,390,8166,12130,216
1693556266340,350,9309,9603,182
1693556267080,740,57081,6436,344
1693556267590,510,1113,5521,126
1693556268120,530,4972,5363,60
1693556269790,500,22960,954,60
1693556270830,1040,33741,201364,176
1693556271210,380,38634,3387,80
1693556272060,850,21412,54538,42
1693556272760,700,6111,9564,280
1693556273400,640,12061,20256,164
1693556274100,700,6534,15289,130
1693556274460,360,2326,5311,110
1693556275160,700,4281,4051,140
1693556275610,450,2350,5666,66
1693556276290,680,6721,8036,104
1693556277290,1000,5142,8038,136
1693556277820,530,2377,13144,132
1693556278510,690,26806,2806,408
1693556279120,610,4929,15300,242
1693556279810,690,3931,1961,174
1693556280450,640,4423,5150,40
1693556281050,600,1694,4160,20
1693556281690,640,3349,4627,136
1693556282260,570,5451,574,316
1693556282870,610,808,10640,246
1693556283560,690,2325,9481,286
1693556284590,1030,5688,13770,404
1693556285620,1030,24799,4681,316
1693556286300,680,461,5959,134
1693556286940,640,2475,6835,298
1693556287670,730,10903,5566,286
1693556288350,680,3359,1072,330
1693556289030,680,74,3838,212
1693556289510,480,627,1058,62
1693556290340,830,6043,3442,326
1693556291020,680,706,1314,188
1693556291400,380,442,1215,26
1693556292510,1110,3219,2557,46
1693556293060,550,1423,1440,10
1693556293610,550,811,1014,6
1693556294710,1100,7058,12135,106
1693556295390,680,3193,1400,88
1693556296030,640,1922,4562,72
1693556296620,590,153,11538,348
1693556297300,680,3406,8167,904
1693556298190,890,2664,21292,460
1693556298870,680,6063,9153,194
1693556299340,470,1636,8842,92
1693556299930,590,3493,2406,360
1693556300590,660,1908,731,66
1693556301250,660,404,4698,28
1693556301620,370,158,3738,156
1693556302270,650,3834,1863,220
1693556302920,650,6393,3083,520
1693556303480,560,691,4045,150
1693556304100,620,2716,900,98
1693556304790,690,3140,8100,412
1693556305970,1180,11245,4072,124
1693556306560,590,963,3525,50
1693556307150,590,868,2623,16
1693556307750,600,1236,2475,4
1693556308400,650,1137,4686,8
1693556309020,620,972,2487,16
1693556309680,660,2186,4390,42
1693556310340,660,5043,1242,26
1693556310990,650,3972,4064,28
1693556312210,1220,10617,1114,32
1693556312780,570,934,1611,16
1693556313190,410,1132,4838,22
1693556314660,1470,13473,14292,118
1693556315270,610,5349,487,66
1693556315890,620,1701,4942,30
1693556316470,580,644,2449,14
1693556324210,1790,42290,9026,84
1693556324790,580,447,3304,16
1693556325370,580,1233,2855,8
1693556325950,580,1110,2195,4
1693556326550,600,1373,3307,0
1693556327170,620,1169,4256,4
1693556327800,630,794,5110,14
1693556328450,650,5109,1095,18
1693556329000,550,1152,1978,4
1693556329800,800,640,2993,14
1693556330510,710,4212,2008,20
1693556331010,500,2020,1752,40
1693556331770,760,624,6708,24
1693556333340,1570,34755,27336,94
1693556333960,620,1795,5094,104
1693556334580,620,722,732,46
1693556335200,620,695,2379,78
1693556335800,600,825,9205,188
1693556336420,620,1592,695,150
1693556338200,1780,9761,40407,146
1693556338820,620,1320,7133,66
1693556339990,1170,1809,13067,110
1693556340610,620,6017,2507,48
1693556341760,1150,5614,1763,102
1693556342330,570,1599,5278,26
1693556342920,590,1946,4719,24
1693556343570,650,2278,5028,40
1693556344200,630,1391,1541,12
1693556344880,680,1242,4743,10
1693556345600,720,1234,6193,20
1693556346950,1350,11228,12903,60
1693556349700,640,5016,2739,112
1693556350340,640,1911,1203,102
1693556350980,640,365,1159,70
1693556351610,630,1530,10448,218
1693556352310,700,13549,1506,246
1693556352950,640,3483,8723,188
1693556353390,440,2448,3026,110
1693556354030,640,1863,5077,436
1693556354460,430,778,2268,70
1693556355830,1370,751,13229,30
1693556356550,720,9358,7695,68
1693556357500,950,9970,21335,138
1693556358110,610,4717,4420,136
1693556358860,750,4747,6058,184
1693556359460,600,7374,6081,88
1693556360040,580,3846,5230,106
1693556360620,580,2321,7950,56
1693556361250,630,2421,2623,76
1693556361880,630,4516,5829,82
1693556362480,600,1279,5195,104
1693556363690,1210,18473,32140,130
1693556364430,740,7914,4047,58
1693556365100,670,2580,6175,18
1693556365730,630,1096,4505,8
1693556366340,610,1655,5279,8
1693556366900,560,1175,3261,54
1693556367480,580,1335,3832,0
1693556368080,600,5337,1330,22
1693556368680,600,1447,9031,12
1693556369950,1270,15778,2412,78
1693556370570,620,1684,5023,48
1693556371210,640,967,5024,24
1693556371850,640,4717,1356,58
1693556372470,620,973,6351,86
1693556373110,640,5077,1650,64
1693556373790,680,6069,4537,132
1693556374380,590,4455,1540,104
1693556374950,570,1606,3050,238
1693556375570,620,1890,3384,152
1693556376190,620,1227,950,90
1693556376810,620,1250,4252,156
1693556377190,380,205,2775,112
1693556377810,620,5834,5524,636
1693556378310,500,911,2034,182
1693556386710,520,2869,1159,104
1693556387270,560,1293,5229,176
1693556387640,370,900,484,164
1693556388450,600,1720,2816,320
1693556388730,280,1087,800,200
1693556389340,610,2766,1212,296
1693556389740,400,876,1560,192
1693556390340,600,1170,3819,146
1693556390960,620,5388,853,114
1693556391510,550,480,2133,60
1693556392050,540,841,1926,52
1693556392600,550,717,2879,12
1693556393160,560,1078,3466,2
1693556393750,590,1284,3405,8
1693556394360,610,2029,2671,8
1693556394910,550,2254,8222,62
1693556395720,810,3378,11543,306
1693556396430,710,6205,2619,402
1693556397010,580,2937,964,348
1693556397590,580,970,3279,544
1693556398040,450,2722,1030,142
1693556398620,580,1325,7743,138
1693556399120,500,550,3665,104
1693556399810,690,2769,4429,84
1693556400100,290,1570,79,22
1693556401080,610,1441,2543,110
1693556402270,1190,10897,7420,44
1693556403510,1240,9941,2520,0
1693556404790,1280,8778,23185,56
1693556405390,600,2533,7070,114
1693556405990,600,4096,6639,1088
1693556406690,700,4023,3699,190
1693556407360,670,8954,2141,212
1693556407920,560,2512,3091,290
1693556408350,430,388,2965,128
1693556409030,680,3272,5513,602
1693556409790,760,5231,1522,186
1693556410420,630,1125,4075,38
1693556411040,620,1395,2407,70
1693556411630,590,978,3594,48
1693556412200,570,955,3726,14
1693556412780,580,1880,3344,12
