timestamp,reportType,mbbBefore,createTime,bm,uploadTime,rrInterval,mbbAfter,showtimestamp
1699517400440,1.0,2472.0,2023-11-09 17:05:28,12.0,2023-11-09 17:05:27,920.0,3157.0,2023-11-09 16:10:00
1699517401360,1.0,2208.0,2023-11-09 17:05:28,22.0,2023-11-09 17:05:27,920.0,3292.0,2023-11-09 16:10:01
1699517402300,1.0,2152.0,2023-11-09 17:05:28,10.0,2023-11-09 17:05:27,940.0,2866.0,2023-11-09 16:10:02
1699517403190,1.0,1604.0,2023-11-09 17:05:28,12.0,2023-11-09 17:05:27,890.0,2455.0,2023-11-09 16:10:03
1699517404070,1.0,1719.0,2023-11-09 17:05:28,4.0,2023-11-09 17:05:27,880.0,3044.0,2023-11-09 16:10:04
1699517404990,1.0,2026.0,2023-11-09 17:05:28,14.0,2023-11-09 17:05:27,920.0,2163.0,2023-11-09 16:10:04
1699517405900,1.0,1350.0,2023-11-09 17:05:28,2.0,2023-11-09 17:05:27,910.0,2113.0,2023-11-09 16:10:05
1699517406850,1.0,1511.0,2023-11-09 17:05:28,16.0,2023-11-09 17:05:27,950.0,1946.0,2023-11-09 16:10:06
1699517407790,1.0,1290.0,2023-11-09 17:05:28,4.0,2023-11-09 17:05:27,940.0,1964.0,2023-11-09 16:10:07
1699517408710,1.0,1106.0,2023-11-09 17:05:28,14.0,2023-11-09 17:05:27,920.0,1582.0,2023-11-09 16:10:08
1699517409620,1.0,1102.0,2023-11-09 17:05:28,76.0,2023-11-09 17:05:27,910.0,2903.0,2023-11-09 16:10:09
1699517410520,1.0,2391.0,2023-11-09 17:05:28,246.0,2023-11-09 17:05:27,900.0,6979.0,2023-11-09 16:10:10
1699517411490,1.0,5668.0,2023-11-09 17:05:28,320.0,2023-11-09 17:05:27,970.0,4649.0,2023-11-09 16:10:11
1699517412270,1.0,3396.0,2023-11-09 17:05:28,124.0,2023-11-09 17:05:27,780.0,3371.0,2023-11-09 16:10:12
1699517413130,1.0,925.0,2023-11-09 17:05:28,28.0,2023-11-09 17:05:27,860.0,2005.0,2023-11-09 16:10:13
1699517413850,1.0,1540.0,2023-11-09 17:05:28,34.0,2023-11-09 17:05:27,720.0,3473.0,2023-11-09 16:10:13
1699517414610,1.0,1024.0,2023-11-09 17:05:28,30.0,2023-11-09 17:05:27,760.0,842.0,2023-11-09 16:10:14
